target,bug,config,trial,tte_seconds,censored
eclair,decode_drop,ir,8,0.383,False
eclair,decode_drop,ir,9,0.376,False
eclair,decode_drop,ir,10,1.386,False
eclair,decode_drop,ir,11,1.258,False
eclair,decode_drop,ir,13,1.549,False
eclair,decode_drop,ir,12,6.747,False
eclair,decode_drop,ir,15,1.147,False
eclair,decode_drop,ir,14,1.472,False
eclair,decode_drop,ir,16,2.575,False
eclair,decode_drop,ir,17,3.191,False
eclair,decode_drop,ir,18,0.314,False
eclair,decode_drop,ir,19,0.447,False
eclair,decode_drop,ir,20,1.109,False
cln,openchannel_assert,ir,8,34324.766,False
cln,openchannel_assert,ir,7,7986.811,False
cln,openchannel_assert,ir,1,17129.763,False
cln,openchannel_assert,ir,5,7970.934,False
cln,openchannel_assert,ir,2,21961.756,False
cln,openchannel_assert,ir,3,8014.151,False
cln,openchannel_assert,ir,10,17457.195,False
cln,openchannel_assert,ir,9,12735.673,False
cln,openchannel_assert,ir,4,14966.345,False
cln,openchannel_assert,ir,6,25727.645,False
cln,openchannel_assert,ir,18,28146.308,False
cln,openchannel_assert,ir,17,9344.569,False
cln,openchannel_assert,ir,11,19014.037,False
cln,openchannel_assert,ir,15,9166.574,False
cln,openchannel_assert,ir,12,19326.345,False
cln,openchannel_assert,ir,13,9055.991,False
cln,openchannel_assert,ir,20,13965.756,False
cln,openchannel_assert,ir,19,15155.451,False
cln,openchannel_assert,ir,14,12871.057,False
cln,openchannel_assert,ir,16,21611.222,False
eclair,htlc_propagation,ir,1,,True
eclair,htlc_propagation,ir,2,,True
eclair,htlc_propagation,ir,10,,True
eclair,htlc_propagation,ir,4,,True
eclair,htlc_propagation,ir,8,,True
eclair,htlc_propagation,ir,5,,True
eclair,htlc_propagation,ir,7,,True
eclair,htlc_propagation,ir,3,,True
eclair,htlc_propagation,ir,6,,True
eclair,htlc_propagation,ir,11,,True
eclair,htlc_propagation,ir,9,,True
eclair,htlc_propagation,ir,12,,True
eclair,htlc_propagation,ir,20,,True
eclair,htlc_propagation,ir,14,,True
eclair,htlc_propagation,ir,18,,True
eclair,htlc_propagation,ir,15,,True
eclair,htlc_propagation,ir,17,,True
eclair,htlc_propagation,ir,13,,True
eclair,htlc_propagation,ir,19,,True
eclair,htlc_propagation,ir,16,,True
eclair,unknown_message,ir,1,2.742,False
eclair,unknown_message,ir,2,0.692,False
eclair,unknown_message,ir,3,3.26,False
eclair,unknown_message,ir,4,5.29,False
eclair,unknown_message,ir,5,0.859,False
eclair,unknown_message,ir,6,3.102,False
eclair,unknown_message,ir,7,0.336,False
eclair,unknown_message,ir,8,0.343,False
eclair,unknown_message,ir,9,0.474,False
eclair,unknown_message,ir,10,3.914,False
eclair,unknown_message,ir,11,3.044,False
eclair,unknown_message,ir,13,3.684,False
eclair,unknown_message,ir,12,0.609,False
eclair,unknown_message,ir,14,4.549,False
eclair,unknown_message,ir,16,2.606,False
eclair,unknown_message,ir,15,0.988,False
eclair,unknown_message,ir,17,0.393,False
eclair,unknown_message,ir,18,0.281,False
eclair,unknown_message,ir,19,0.564,False
eclair,unknown_message,ir,20,3.131,False
cln,early_cupdate,ir,1,,True
cln,early_cupdate,ir,4,,True
cln,early_cupdate,ir,2,,True
cln,early_cupdate,ir,9,,True
cln,early_cupdate,ir,3,,True
cln,early_cupdate,ir,7,,True
cln,early_cupdate,ir,8,,True
cln,early_cupdate,ir,10,,True
cln,early_cupdate,ir,6,,True
cln,early_cupdate,ir,5,,True
cln,early_cupdate,ir,11,,True
cln,early_cupdate,ir,14,,True
cln,early_cupdate,ir,19,,True
cln,early_cupdate,ir,12,,True
cln,early_cupdate,ir,13,,True
cln,early_cupdate,ir,17,,True
cln,early_cupdate,ir,20,,True
cln,early_cupdate,ir,18,,True
cln,early_cupdate,ir,16,,True
cln,early_cupdate,ir,15,,True
eclair,pubkey_exception,ir,1,,True
eclair,pubkey_exception,ir,2,,True
eclair,pubkey_exception,ir,3,,True
eclair,pubkey_exception,ir,4,,True
eclair,pubkey_exception,ir,5,,True
eclair,pubkey_exception,ir,6,,True
eclair,pubkey_exception,ir,8,,True
eclair,pubkey_exception,ir,7,,True
eclair,pubkey_exception,ir,9,,True
eclair,pubkey_exception,ir,10,,True
eclair,pubkey_exception,ir,11,,True
eclair,pubkey_exception,ir,12,,True
eclair,pubkey_exception,ir,14,,True
eclair,pubkey_exception,ir,13,,True
eclair,pubkey_exception,ir,15,,True
eclair,pubkey_exception,ir,18,,True
eclair,pubkey_exception,ir,16,,True
eclair,pubkey_exception,ir,17,,True
eclair,pubkey_exception,ir,19,,True
eclair,pubkey_exception,ir,20,,True
eclair,shutdown_retransmit,ir,1,,True
eclair,shutdown_retransmit,ir,2,,True
eclair,shutdown_retransmit,ir,3,,True
eclair,shutdown_retransmit,ir,4,,True
eclair,shutdown_retransmit,ir,5,,True
eclair,shutdown_retransmit,ir,6,,True
eclair,shutdown_retransmit,ir,7,,True
eclair,shutdown_retransmit,ir,8,,True
eclair,shutdown_retransmit,ir,9,,True
eclair,shutdown_retransmit,ir,10,,True
eclair,shutdown_retransmit,ir,11,,True
eclair,shutdown_retransmit,ir,13,,True
eclair,shutdown_retransmit,ir,14,,True
eclair,shutdown_retransmit,ir,12,,True
eclair,shutdown_retransmit,ir,16,,True
eclair,shutdown_retransmit,ir,15,,True
eclair,shutdown_retransmit,ir,17,,True
eclair,shutdown_retransmit,ir,18,,True
eclair,shutdown_retransmit,ir,19,,True
eclair,shutdown_retransmit,ir,20,,True
ldk,annsig_panic,ir,1,,True
ldk,annsig_panic,ir,9,,True
ldk,annsig_panic,ir,10,,True
ldk,annsig_panic,ir,5,,True
ldk,annsig_panic,ir,2,,True
ldk,annsig_panic,ir,7,,True
ldk,annsig_panic,ir,3,,True
ldk,annsig_panic,ir,6,,True
ldk,annsig_panic,ir,4,,True
ldk,annsig_panic,ir,8,,True
ldk,annsig_panic,ir,11,,True
ldk,annsig_panic,ir,19,,True
ldk,annsig_panic,ir,20,,True
ldk,annsig_panic,ir,12,,True
ldk,annsig_panic,ir,15,,True
ldk,annsig_panic,ir,17,,True
ldk,annsig_panic,ir,13,,True
ldk,annsig_panic,ir,16,,True
ldk,annsig_panic,ir,14,,True
ldk,annsig_panic,ir,18,,True
ldk,reachable_unwrap,ir,2,22.861,False
ldk,reachable_unwrap,ir,1,79.097,False
ldk,reachable_unwrap,ir,5,32.821,False
ldk,reachable_unwrap,ir,3,84.762,False
ldk,reachable_unwrap,ir,4,134.416,False
ldk,reachable_unwrap,ir,8,30.937,False
ldk,reachable_unwrap,ir,6,76.011,False
